"Timestamp","Hostname","UserLogged","Cidade","Estado","IP_Publico","Provedor","LocalIP","TargetHost","TCP_Latency_ms","TCP_Status","Connection_Health_Score","Connection_Health_Status","Hop_1_IP","Hop_1_Latency_ms","Hop_2_IP","Hop_2_Latency_ms","Hop_3_IP","Hop_3_Latency_ms","Hop_4_IP","Hop_4_Latency_ms","Hop_5_IP","Hop_5_Latency_ms","Hop_6_IP","Hop_6_Latency_ms","Hop_7_IP","Hop_7_Latency_ms","Hop_8_IP","Hop_8_Latency_ms","Hop_9_IP","Hop_9_Latency_ms","Hop_10_IP","Hop_10_Latency_ms","Hop_11_IP","Hop_11_Latency_ms","Hop_12_IP","Hop_12_Latency_ms","Hop_13_IP","Hop_13_Latency_ms","Hop_14_IP","Hop_14_Latency_ms","Hop_15_IP","Hop_15_Latency_ms","Hop_16_IP","Hop_16_Latency_ms","Hop_17_IP","Hop_17_Latency_ms","Hop_18_IP","Hop_18_Latency_ms","Hop_19_IP","Hop_19_Latency_ms","Hop_20_IP","Hop_20_Latency_ms","Hop_21_IP","Hop_21_Latency_ms","Hop_22_IP","Hop_22_Latency_ms"
"2025-11-15 00:08:18","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","73","True","100","Excelente","192.168.0.1","5","10.35.60.1","14","201.6.72.9","18","201.6.64.196","21","*","0","*","0","142.251.230.86","19","209.85.245.67","19","216.239.62.65","16","142.250.219.238","17","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-15 00:09:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","95","True","100","Excelente","165.225.214.105","18","165.225.214.3","16","8.243.34.13","22","200.189.212.154","17","8.243.145.162","19","*","0","209.85.245.66","20","192.178.84.54","16","209.85.249.17","19","172.217.172.174","22","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-15 01:19:44","ISAAC-NYK799D6XT","viniciussantos1","São Paulo","SP","187.38.60.76","Claro NXT Telecomunicacoes Ltda","187.38.60.76","meet.google.com","121","True","76","Bom","192.168.0.1","7","10.35.60.1","24","201.6.72.9","18","201.6.64.196","16","*","0","*","0","192.178.253.68","15","209.85.254.58","20","192.178.84.59","18","209.85.244.85","23","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-15 01:37:02","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","56","True","100","Excelente","192.168.0.1","4","10.35.60.1","14","201.6.72.9","20","201.6.64.196","23","*","0","*","0","192.178.110.180","24","108.170.238.181","27","209.85.251.83","57","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-15 02:27:55","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","90","True","100","Excelente","165.225.214.105","21","165.225.214.3","16","8.243.34.13","24","200.189.212.154","60","8.243.145.162","16","*","0","192.178.240.74","25","216.239.62.64","20","142.251.134.174","16","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-15 03:03:28","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","79","True","100","Excelente","192.168.0.1","6","10.35.60.1","14","201.6.72.9","23","201.6.64.196","19","*","0","*","0","192.178.240.76","19","216.239.59.18","19","209.85.253.1","15","192.178.253.75","33","*","0","*","0","","","","","","","","","","","","","","","","","","","",""
"2025-11-15 03:54:32","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","81","True","100","Excelente","165.225.214.105","23","165.225.214.3","37","8.243.34.13","20","200.189.212.154","67","8.243.145.162","17","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","172.217.30.142","18"
"2025-11-15 05:01:24","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","52","True","100","Excelente","192.168.0.1","6","10.35.60.1","14","201.6.72.9","25","201.6.64.196","23","*","0","*","0","192.178.253.64","24","192.178.253.75","17","142.251.255.13","27","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-15 05:37:15","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","83","True","100","Excelente","165.225.214.105","22","165.225.214.3","20","8.243.34.13","18","200.189.213.6","19","8.243.145.162","17","*","0","209.85.249.36","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-15 06:11:44","ISAAC-NYK799D6XT","viniciussantos1","São Paulo","SP","187.38.60.76","Claro NXT Telecomunicacoes Ltda","187.38.60.76","meet.google.com","92","True","100","Excelente","192.168.0.1","24","10.35.60.1","91","201.6.72.9","119","201.6.64.196","84","*","0","*","0","209.85.245.66","20","209.85.253.0","47","192.178.84.181","17","","","","","","","","","","","","","","","","","","","","","","","","","",""
