"Timestamp","Hostname","UserLogged","Cidade","Estado","IP_Publico","Provedor","LocalIP","TargetHost","TCP_Latency_ms","TCP_Status","Connection_Health_Score","Connection_Health_Status","Hop_1_IP","Hop_1_Latency_ms","Hop_2_IP","Hop_2_Latency_ms","Hop_3_IP","Hop_3_Latency_ms","Hop_4_IP","Hop_4_Latency_ms"
"2025-11-05 01:37:46","ARCO-PE0B1Z9R","nathaliacoutinho","São Paulo","SP","189.120.73.13","Claro NXT Telecomunicacoes Ltda","189.120.73.13","meet.google.com","94","True","100","Excelente","192.168.0.1","11","100.90.16.1","27","201.6.75.89","6","201.6.65.210","29"
"2025-11-05 02:55:41","ARCO-PE0B1Z9R","nathaliacoutinho","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com","59","True","100","Excelente","192.168.0.1","2","100.90.16.1","11","201.6.75.89","5","201.6.65.210","10"
"2025-11-05 03:34:41","ARCO-PE0B1Z9R","nathaliacoutinho","São Paulo","SP","189.120.73.13","Claro NXT Telecomunicacoes Ltda","189.120.73.13","meet.google.com","223","True","55","Aceitável","192.168.0.1","23","100.90.16.1","21","201.6.75.89","42","201.6.65.210","270"
"2025-11-05 03:43:52","ARCO-PE0B1Z9R","nathaliacoutinho","São Paulo","SP","189.120.73.13","Claro NXT Telecomunicacoes Ltda","189.120.73.13","meet.google.com","17","True","100","Excelente","192.168.0.1","4","100.90.16.1","75","201.6.75.89","198","201.6.65.210","11"
"2025-11-05 03:44:13","ARCO-PE0B1Z9R","nathaliacoutinho","São Paulo","SP","189.120.73.13","Claro NXT Telecomunicacoes Ltda","189.120.73.13","meet.google.com","17","True","100","Excelente","192.168.0.1","3","100.90.16.1","36","201.6.75.89","7","201.6.65.210","4"
"2025-11-05 03:46:05","ARCO-PE0B1Z9R","nathaliacoutinho","São Paulo","SP","189.120.73.13","Claro NXT Telecomunicacoes Ltda","189.120.73.13","meet.google.com","22","True","100","Excelente","192.168.0.1","2","100.90.16.1","13","201.6.75.89","4","201.6.65.210","5"
"2025-11-05 03:49:42","ARCO-PE0B1Z9R","nathaliacoutinho","São Paulo","SP","189.120.73.13","Claro NXT Telecomunicacoes Ltda","189.120.73.13","meet.google.com","23","True","100","Excelente","192.168.0.1","2","100.90.16.1","47","201.6.75.89","70","201.6.65.210","5"
"2025-11-05 03:52:43","ARCO-PE0B1Z9R","nathaliacoutinho","São Paulo","SP","189.120.73.13","Claro NXT Telecomunicacoes Ltda","189.120.73.13","meet.google.com","22","True","100","Excelente","192.168.0.1","6","100.90.16.1","25","201.6.75.89","6","201.6.65.210","5"
"2025-11-05 04:07:12","ARCO-PE0B1Z9R","nathaliacoutinho","São Paulo","SP","189.120.73.13","Claro NXT Telecomunicacoes Ltda","189.120.73.13","meet.google.com","24","True","100","Excelente","192.168.0.1","8","100.90.16.1","14","201.6.75.89","7","201.6.65.210","7"
"2025-11-05 04:55:45","ARCO-PE0B1Z9R","nathaliacoutinho","São Paulo","SP","189.120.73.13","Claro NXT Telecomunicacoes Ltda","189.120.73.13","meet.google.com","122","True","76","Bom","192.168.0.1","36","100.90.16.1","24","201.6.75.89","6","201.6.65.210","4"
"2025-11-05 07:06:16","ARCO-PE0B1Z9R","nathaliacoutinho","São Paulo","SP","189.120.73.13","Claro NXT Telecomunicacoes Ltda","189.120.73.13","meet.google.com","24","True","100","Excelente","192.168.0.1","6","100.90.16.1","19","201.6.75.89","8","201.6.65.210","10"
"2025-11-05 08:02:19","ARCO-PE0B1Z9R","nathaliacoutinho","São Paulo","SP","189.120.73.13","Claro NXT Telecomunicacoes Ltda","189.120.73.13","meet.google.com","28","True","100","Excelente","192.168.0.1","6","100.90.16.1","26","201.6.75.89","5","201.6.65.210","5"
